"Año","Actividad","Sector","Tipo de precios","Código Departamento (DIVIPOLA)","Departamento","Valor (miles de millones de pesos)"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","19","Cauca","292.45"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","20","Cesar","202.12"
"2,005","Construcción","Secundario","PIB a precios corrientes","68","Santander","1,136.12"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","27","Chocó","24.74"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","23","Córdoba","444.35"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","25","Cundinamarca","1,995.47"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","94","Guainía","0.65"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","95","Guaviare","4.54"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","41","Huila","463.45"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","44","La Guajira","239.89"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","47","Magdalena","143.9"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","50","Meta","160.26"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","52","Nariño","164.07"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","54","Norte de Santander","204.64"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","86","Putumayo","7.9"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","63","Quindío","108.84"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","66","Risaralda","224.21"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","88","San Andrés, Providencia y Santa Catalina (Archipiélago)","20.15"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","68","Santander","673.57"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","70","Sucre","94.4"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","73","Tolima","298.79"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","76","Valle del Cauca","1,970.19"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","97","Vaupés","0.65"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","99","Vichada","2.16"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","91","Amazonas","10.26"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","5","Antioquia","3,764.41"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","81","Arauca","128"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","8","Atlántico","619.13"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","11","Bogotá D.C.","7,967.98"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","13","Bolívar","702.86"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","15","Boyacá","640"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","17","Caldas","352.44"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","18","Caquetá","88.52"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","85","Casanare","331.66"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","19","Cauca","276.92"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","20","Cesar","422.67"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","27","Chocó","105.95"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","23","Córdoba","713.33"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","25","Cundinamarca","852.16"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","94","Guainía","34.95"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","95","Guaviare","43.11"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","41","Huila","861.43"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","44","La Guajira","249.07"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","47","Magdalena","647.91"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","50","Meta","680.52"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","52","Nariño","611.85"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","54","Norte de Santander","391.6"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","86","Putumayo","90.51"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","63","Quindío","262.67"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","66","Risaralda","1,054.53"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","88","San Andrés, Providencia y Santa Catalina (Archipiélago)","13.12"
