Año,Actividad,Sector,Tipo de precios,Código Departamento (DIVIPOLA),Departamento,Valor (miles de millones de pesos),Valor_winsorizado,Actividad_abreviada
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,95,Guaviare,8.97,8.97,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,41,Huila,402.71,402.71,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,44,La Guajira,36.08,36.08,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,47,Magdalena,346.85,346.85,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,50,Meta,591.41,591.41,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,52,Nariño,296.9,296.9,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,54,Norte de Santander,624.67,624.67,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,86,Putumayo,36.25,36.25,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,63,Quindío,268.39,268.39,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,66,Risaralda,1286.41,1286.41,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",11.78,11.78,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,68,Santander,8112.34,8112.34,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,70,Sucre,475.13,475.13,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,73,Tolima,1413.42,1413.42,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,76,Valle del Cauca,9262.77,9262.77,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,97,Vaupés,0.38,0.7100999999999998,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,99,Vichada,18.18,18.18,Manufactura
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,91,Amazonas,17.59,17.59,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,5,Antioquia,4025.22,4025.22,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,81,Arauca,24.83,24.83,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,8,Atlántico,1715.16,1715.16,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,11,Bogotá D.C.,3233.94,3233.94,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,13,Bolívar,626.2,626.2,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,15,Boyacá,1025.31,1025.31,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,17,Caldas,566.97,566.97,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,18,Caquetá,14.78,14.78,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,85,Casanare,90.37,90.37,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,19,Cauca,292.45,292.45,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,20,Cesar,202.12,202.12,"Electricidad, agua y saneamiento"
2005,Construcción,Secundario,PIB a precios corrientes,68,Santander,1136.12,1136.12,Construcción
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,27,Chocó,24.74,24.74,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,23,Córdoba,444.35,444.35,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,25,Cundinamarca,1995.47,1995.47,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,94,Guainía,0.65,0.7100999999999998,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,95,Guaviare,4.54,4.54,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,41,Huila,463.45,463.45,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,44,La Guajira,239.89,239.89,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,47,Magdalena,143.9,143.9,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,50,Meta,160.26,160.26,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,52,Nariño,164.07,164.07,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,54,Norte de Santander,204.64,204.64,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,86,Putumayo,7.9,7.9,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,63,Quindío,108.84,108.84,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,66,Risaralda,224.21,224.21,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",20.15,20.15,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,68,Santander,673.57,673.57,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,70,Sucre,94.4,94.4,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,73,Tolima,298.79,298.79,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,76,Valle del Cauca,1970.19,1970.19,"Electricidad, agua y saneamiento"
